Time,Temp,6011 nw-2-1B,6010 nw-2-11,6009 nw-2-0F,6008 nw-2-0E,6007 nw-2-0D,6006 nw-2-09,6005 nw-2-08,6004 nw-2-07,6003 nw-2-05,6002 nw-2-02,6001 nw-2-01,f-6011 nw-2-1B,f-6010 nw-2-11,f-6009 nw-2-0F,f-6008 nw-2-0E,f-6007 nw-2-0D,f-6006 nw-2-09,f-6005 nw-2-08,f-6004 nw-2-07,f-6003 nw-2-05,f-6002 nw-2-02,f-6001 nw-2-01
74,0.0009,2,1,1,0,3,4,4,0,2,5,0,0,1.60029,0,0.02586,3.52072,2.15152,1.30135,0,1.69475,4.37637,2.55435
75,0.002,0,3,0,0,0,2,1,0,0,2,0,1.61878,1.7654,0.81998,0,2.18021,2.69772,2.83256,0,1.32396,5.24523,0
76,0.0031,1,7,0,1,0,4,1,0,2,2,1,0,3.1453,0,0,0,3.05684,1.07701,0,0,1.82093,0
77,0.0009,1,3,0,1,2,4,2,0,1,2,1,0.39591,1.85868,0,0.15918,0,3.64522,0.6459,0,0.46338,2.39627,0.14664
78,0.0018,1,0,0,0,0,7,3,1,1,5,1,0.48935,2.67423,0,0.94103,1.84828,4.44876,2.06945,0,1.14539,2.32403,0.71651
79,0.0033,0,2,0,0,1,3,3,2,0,3,0,0.69868,0,0,0,0,7.80824,4.09171,1.12519,0.66323,5.31096,0.99889
80,0.0018,1,2,0,0,2,4,0,1,2,5,1,0,0.20748,0,0,0.05571,3.98297,2.71466,2.10345,0,4.18456,0
81,0.002,1,0,0,3,0,1,0,1,0,7,3,1.87088,1.34146,0,0,1.16866,3.54662,0,1.78262,1.40134,5.18109,1.26186
82,0.0007,5,4,0,1,1,2,2,1,2,5,3,0.10364,0,0,3.00247,0,1.55354,0,1.0616,0,7.55191,3.80498
83,0.002,0,2,0,1,0,1,1,0,3,8,0,4.49739,0.6774,0,0.9925,0.07377,0.23414,1.62049,0.03492,1.16813,4.2705,1.07286
84,0.002,2,0,0,1,0,3,1,0,1,5,0,0,1.1926,0,1.01305,0,0.09851,0.27954,0,2.88251,8.88393,0
85,-0.0003,0,1,0,0,0,3,0,0,0,2,3,1.6199,0,0,0.86992,0,2.90599,0.81742,0,0.77302,4.74277,0
86,0.003,0,3,1,1,1,2,1,0,1,5,2,0,0.08634,0,0,0,2.7475,0,0,0,3.24424,0.15813
87,0.0017,0,2,0,1,0,5,1,0,1,5,2,0,2.27901,0.59345,1.04068,0.6116,1.76574,1.1164,0,0.62648,5.24786,1.15108
88,0.0005,1,3,1,2,1,3,2,0,3,6,3,0,3.25838,0,1.3704,0,5.40057,0.2797,0,1.0812,5.32953,2.17317
89,0.0023,0,1,0,0,0,3,1,1,2,4,2,0.13431,2.76254,0.77043,1.44996,0.06171,2.93042,2.08878,0,2.34633,6.47561,3.061
90,0.0007,0,2,0,0,1,3,2,0,3,3,2,0,2.07562,0,0,0,3.32302,1.71826,0.48875,2.58412,4.33508,3.63011
91,0.0032,0,4,0,1,0,0,2,1,0,6,0,0,1.94902,0,0,0.03826,2.85096,2.12731,0,2.73792,2.34153,0.52554
92,0.0042,0,3,0,3,2,6,1,1,1,4,0,0,0.6876,0,0.70026,0,0,0.5423,0.1158,0,6.21998,0
93,0.002,2,1,1,2,1,0,1,2,0,4,0,0,3.63738,0,3.39302,1.94921,5.34551,1.03522,1.91895,0.00524,5.09283,0
94,0.0008,1,2,0,1,1,1,1,0,2,0,0,2.92397,1.35396,0.13366,2.43204,1.93963,0,1.33365,0.11559,0,5.07891,0
95,0.0008,0,1,0,0,1,3,1,1,0,4,1,0.03908,0.16841,0,0.79602,0.03744,1.66597,0.33637,0,1.14902,0,0
96,0.0023,1,1,0,1,1,5,2,0,2,3,3,0,1.26106,0,0,1.12627,2.83635,1.23916,0.82067,0,4.62236,1.06915
97,0.002,3,6,1,3,6,3,0,1,2,4,4,1.5855,1.22094,0,0.00472,1.30991,5.67844,0.66607,0,2.26438,3.19753,3.91779
98,0.0023,2,1,0,5,0,0,4,0,3,0,1,2.81687,5.48321,0.45459,3.28826,5.37097,2.99132,0,0.58023,1.81629,3.21373,4.05569
99,0.002,2,1,0,1,0,1,1,0,0,4,0,1.77532,1.96632,0,4.38564,0,0,5.35634,0,2.41018,0,0.33248
100,0.0005,1,0,1,1,1,2,1,1,0,4,0,2.15528,0.0239,0,1.1448,0,1.37848,0.54224,0,0,4.48311,0
101,0.002,1,2,0,1,1,4,3,0,1,5,2,1.2686,0,0.37971,0.79408,1.04283,0.55622,0.22605,0.22827,0,3.09847,0
102,0.0005,0,0,0,2,0,1,0,0,1,4,0,0.48472,1.56802,0,1.99553,0.39892,4.14006,2.74887,0,1.02606,6.31461,1.78996
103,0.0008,1,4,0,0,1,1,2,0,0,2,1,0,0,0,1.00242,0,1.62977,0,0,0.6751,4.43227,0
104,0.002,0,2,0,0,2,0,1,0,0,4,0,0.3726,4.1523,0,0,0.01818,0.41703,0.51108,0,0,2.19522,0.35325
105,0.0005,0,1,0,1,0,0,3,0,1,1,0,0,1.36871,0,0,1.5346,0,1.43108,0,0,4.3591,0
106,0.002,1,5,0,1,0,2,0,0,1,6,2,0,1.58344,0,0.33193,0,0,2.52847,0,0.20629,1.43858,0
107,0.0005,1,0,0,1,1,5,3,0,1,5,1,0.72438,3.79655,0,1.28884,0,2.3817,0,0,0.38508,5.31193,0.85362
108,0.002,1,0,0,0,1,1,1,0,0,2,0,1.06083,0,0,0.38244,1.77893,4.21327,3.44866,0,0.49982,4.37444,0.73295
109,0.0017,0,2,0,0,3,3,2,0,1,4,4,0.77485,0,0,0,0.14624,0.39895,0.83433,0,0,2.53025,0
110,0.0005,2,2,0,0,0,0,3,1,1,5,1,0,0.6201,0,0,1.29312,1.42461,1.76546,0,1.01729,2.09174,1.59804
111,0.0017,0,0,0,1,2,0,3,1,0,4,0,1.04168,1.74838,0,0,0,0,4.54476,0.12317,0.8456,5.49282,0.91043
112,0.0005,0,0,1,2,0,3,1,0,0,2,0,0,0,0,0.58708,0.73694,0,2.19811,0.53374,0,4.61966,0
113,0.002,0,1,0,1,2,1,1,0,1,4,2,0,0,0.27315,2.05736,0,3.3146,1.31574,0,0,2.40254,0
114,0.0008,2,0,0,1,0,3,2,0,2,0,0,0,0.16658,0,1.31574,1.72396,0.19995,0.5569,0,1.30887,3.37035,1.75702
115,0.0016,1,4,1,5,0,1,4,0,2,3,0,1.53362,0,0,1.45433,0,2.96977,2.48984,0,2.62814,0,0
116,0.0008,1,4,0,1,1,3,2,0,0,5,1,0.44295,1.3602,0.27567,4.84678,0,0.87381,4.78077,0,1.41829,1.99696,0
117,0.0032,0,1,1,1,0,2,3,0,1,2,0,0.76346,4.72283,0,0.88853,0.13262,2.84743,2.53241,0,0,5.0556,0.74645
118,0.0016,0,2,0,1,0,1,1,0,0,3,2,0,0.91489,0.55882,1.0611,0,2.62669,2.93363,0,0.72904,2.83654,0
119,0.004,3,2,1,2,0,2,1,0,1,2,1,0,0.53004,0,0.38448,0,0.01653,0.45677,0,0,3.09896,0.96798
120,0.0008,3,0,1,5,2,3,1,2,1,1,1,2.04306,1.64866,0.63386,2.07158,0,2.89008,1.81247,0,1.31262,1.7928,1.0106
121,0.0032,3,4,1,3,2,3,3,1,0,6,4,3.2653,0,1.05373,6.10611,2.26416,2.75356,1.08738,1.82783,0.64508,1.96147,1.55433
122,0.0032,3,2,0,1,1,5,2,0,0,5,0,2.81251,4.63445,0.92994,2.38234,2.7105,4.03172,2.28626,0.77946,0,5.06112,3.5247
123,0.002,1,0,0,2,0,3,0,0,0,6,0,2.53618,1.67985,0,1.11638,0.74614,4.57042,0.7076,0,0,5.62478,0
124,0.002,1,3,2,1,1,2,1,1,3,6,3,0.96925,0,0,2.94359,0,3.41729,0,0,0,5.72175,0
125,0.002,1,2,0,1,2,2,1,0,2,3,1,1.00044,0.87804,1.03282,0.30332,1.52952,2.34934,0.35034,0.11289,0.91314,6.03315,0.79533
126,0.0024,2,2,0,4,2,1,2,0,4,4,3,1.09131,0.84544,0,1.28778,1.12456,1.40698,1.41104,0,1.71433,2.87611,1.76023
127,0.002,1,1,0,0,0,3,1,0,0,3,0,2.07405,1.77194,0,4.2273,1.97954,1.10204,2.21684,0,3.91705,4.67307,2.2011
128,0.0005,2,3,0,0,4,3,1,1,2,2,4,1.44164,1.2198,0,0,0,2.61363,0.30968,0,0,3.30489,0
129,0.0016,5,3,0,2,3,8,3,0,1,4,1,2.27184,1.61456,0,0,4.3082,3.25919,0.43406,0.68507,2.49055,0.65011,4.73612
130,0.0027,2,0,0,0,0,1,4,0,2,3,0,4.71995,2.45667,0,1.06316,2.62397,8.38944,3.10344,0,0.35464,5.06707,0.82678
131,0.002,1,1,0,2,2,2,0,0,1,5,3,1.81155,0,0,0,0,0.87358,5.11606,0,1.97089,3.34715,0
132,0.0009,2,2,1,2,0,1,2,1,1,3,3,1.7639,0.15092,0,0.82528,0.62824,1.40608,0,0,0.40684,5.55815,3.16331
133,0.0005,8,1,1,2,2,2,1,2,0,1,0,1.31841,1.35938,1.10525,2.12317,0,1.12662,1.58594,1.16115,0.84664,3.43765,2.06546
134,0.0016,2,1,4,0,0,1,0,1,2,2,2,10.24216,1.47102,1.51395,2.63921,1.78002,2.30917,0.83628,1.89998,0,0.0757,0
135,0.0009,0,1,0,0,1,6,1,1,0,4,4,1.29425,0.23566,1.25691,0,0,1.47561,0,1.03981,1.88962,3.07627,0.87004
136,0.002,0,0,0,0,0,2,0,1,1,0,1,0,0.54622,0,0,0.67945,6.41301,0.55903,0.63141,0,3.35057,3.16096
137,0.0005,2,1,0,0,1,2,1,0,0,1,2,0,0,0,0,0,1.33445,0,0.87822,0.99537,0,1.31825
138,0.0016,1,4,0,0,0,2,1,0,1,3,2,2.36657,0.10223,0,0,0.11627,2.06842,0.13565,0,0,1.16162,0.48561
139,0.002,0,2,1,0,0,3,1,0,1,4,2,1.44687,4.56384,0,0,0,1.704,0.50287,0,0.67219,3.22021,1.1171
140,-0.0002,1,0,0,0,0,3,2,0,1,7,1,0,1.48301,0.26244,0,0,3.32993,1.4126,0,1.43401,4.27337,2.76168
141,0.0005,0,1,0,1,1,7,3,0,1,3,0,0.78905,0,0,0,0,3.16435,2.19111,0,0.0886,7.49741,0.04974
142,0.002,1,1,0,0,1,1,2,0,0,3,0,0,0.60619,0,0.39523,0.679,6.36485,2.63856,0,0.50506,2.56526,0
143,0.0024,1,0,1,2,2,2,2,0,2,4,1,0.38442,0.92463,0,0,1.84804,1.56914,3.11948,0,0,3.34373,0
144,0.0009,0,4,1,0,1,5,2,0,1,8,5,0.52274,0,1.12165,1.73746,2.07398,1.4118,1.19463,0,0.35926,4.18577,1.00761
145,0.0005,2,1,0,2,0,1,4,0,2,5,0,0,3.63042,0.35878,0,0.4949,5.06017,2.85917,0,1.1164,7.53675,4.96878
146,0.0016,1,2,0,0,0,1,4,0,1,1,3,1.2714,1.86166,0,1.4431,0,2.68531,5.1905,0,2.0076,4.88651,0
147,0,0,0,1,0,1,3,0,0,2,4,3,0.74756,0.49697,0,0,0,1.07505,3.92561,0,0.96767,1.17726,0.26205
148,0.002,0,0,0,1,0,4,0,1,2,4,0,0,0,0.11656,0,0.53554,3.30977,0,0,1.84735,4.71293,1.81641
149,-0.0006,0,1,1,2,1,4,1,0,2,4,0,0,0,0,0.90651,0,3.55903,0,0.58368,2.06202,3.71488,0
150,0.0022,1,0,1,1,3,5,0,0,1,2,6,0,0.04127,0.5777,2.04314,0.0932,4.00545,0.79067,0,2.0899,3.54973,0
151,0.0009,0,2,0,2,1,1,2,1,3,3,2,0.69457,0,0.75856,1.59494,2.79386,6.58121,0,0,1.24086,3.35691,3.5745
152,0.0009,0,0,1,2,0,1,1,0,0,4,0,0,1.95324,0,0.78798,0.89472,1.29985,1.80234,0.70851,2.82231,3.84783,1.92714
153,0.0005,0,1,1,2,0,3,0,1,1,3,0,0,0,0.0104,2.32014,0,1.49444,0.86836,0,0,3.18134,0
154,0.0005,0,2,0,0,0,3,3,1,0,1,0,0,1.14505,0.50689,1.79616,0,3.1667,0,0.26206,0.39808,2.64958,0
155,26.891,0,0,0,0,0,3,0,0,0,3,0,0,1.36588,0,0,0,3.82988,2.48355,0.5775,0,1.15825,0
156,26.3375,0,0,0,0,1,0,3,0,1,3,1,0,0,0,0,0,2.02751,0,0,0,3.53957,0
157,25.9502,1,3,0,0,0,0,2,1,0,1,1,0,0,0,0,0.78493,0,4.14858,0,0.09931,2.8427,0.39439
158,25.8406,0,0,0,1,0,2,0,0,0,3,0,0.87276,2.74131,0,0,0,0,1.12377,0.84942,0,1.55584,0.82587
159,25.8,1,2,0,1,1,5,2,0,2,8,1,0,0,0,1.55022,0,1.71731,0,0,0,3.65565,0
160,25.7404,2,1,1,1,3,2,4,0,4,3,0,1.02036,0.82694,0,1.17514,0.33397,4.16481,0.99602,0,0.8324,11.18328,0.44059
161,25.6881,1,0,0,1,0,1,1,0,0,4,0,1.80733,0.61203,0.74736,0.01299,2.40777,1.90194,6.91144,0,3.44688,3.1371,0
162,25.6525,2,0,0,0,1,3,0,0,0,0,3,1.3424,0,0,0.53912,0,1.1586,0.60433,0,0,3.75514,0
163,25.6108,2,4,0,2,3,3,4,0,2,5,1,1.91532,0,0,0,0.12799,3.12887,0,0,0,0,0.34887
164,25.57,1,1,0,2,0,4,2,1,1,2,3,1.7815,4.43765,0,2.09582,2.4678,3.73681,4.24707,0,1.24818,6.61015,0.35748
